time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-22T12:06:52.960Z,19.227,-155.3765,32.12,2.22,ml,45.0,160.0,0.02242,0.11,hv,hv74507476,2024-10-23T02:43:48.830Z,"11 km ENE of Pāhala, Hawaii",earthquake,0.4,0.47,0.24134451879371,4.0,reviewed,hv,hv
2024-10-22T12:06:45.330Z,19.231166666667,-155.3795,32.54,1.4,md,26.0,168.0,0.01814,0.11,hv,hv74507471,2024-10-23T02:54:49.970Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.58,0.65,0.02990279880222,5.0,reviewed,hv,hv
2024-10-22T12:02:11.363Z,32.405,-102.061,6.9092,2.1,ml,21.0,47.0,0.0,0.1,tx,tx2024utxf,2024-10-22T13:33:32.145Z,"35 km WSW of Ackerly, Texas",earthquake,0.5910116790813,0.80776108495364,0.0,7.0,reviewed,tx,tx
2024-10-22T11:41:13.320Z,45.721,-112.93016666667,5.01,0.5,ml,6.0,129.0,0.2369,0.05,mb,mb90064083,2024-10-22T15:02:08.550Z,"42 km ENE of Wisdom, Montana",earthquake,0.44,6.23,0.30274110674156,5.0,reviewed,mb,mb
2024-10-22T11:34:21.020Z,38.545166666667,-123.3605,6.19,1.7,md,28.0,194.0,0.09611,0.1,nc,nc75077311,2024-10-23T06:29:28.128Z,"11 km WNW of Fort Ross, CA",earthquake,0.38,0.67,0.119,24.0,reviewed,nc,nc
2024-10-22T11:29:02.080Z,37.784999847412,-121.94383239746,10.14999961853,1.47,md,10.0,140.0,0.1304,0.02,nc,nc75077306,2024-10-22T12:12:16.696Z,"3 km E of San Ramon, CA",earthquake,0.36,1.16999996,0.07,5.0,automatic,nc,nc
2024-10-22T11:18:43.630Z,36.719333648682,-121.10666656494,6.7199997901917,1.4,md,10.0,86.0,0.1233,0.17,nc,nc75077291,2024-10-22T11:42:14.474Z,"21 km ESE of Tres Pinos, CA",earthquake,0.55,3.70000005,0.11,7.0,automatic,nc,nc
2024-10-22T11:18:09.160Z,36.255666666667,-89.493,7.11,1.47,md,12.0,55.0,0.01455,0.05,nm,nm60592956,2024-10-22T13:06:46.600Z,"0 km SSW of Ridgely, Tennessee",earthquake,0.31,0.52,0.051087108829868,10.0,reviewed,nm,nm
2024-10-22T11:11:18.490Z,45.692,-112.4565,5.0,0.12,ml,6.0,117.0,0.1302,0.08,mb,mb90064078,2024-10-22T14:52:56.060Z,"19 km NNW of Twin Bridges, Montana",earthquake,0.41,3.73,0.26041656943506,5.0,reviewed,mb,mb
2024-10-22T11:10:25.500Z,61.311333333333,-152.24683333333,-2.29,0.85,ml,8.0,121.0,0.06389,0.1,av,av93326458,2024-10-23T01:04:41.830Z,"65 km WNW of Beluga, Alaska",earthquake,0.32,1.46,0.23944020009907,3.0,reviewed,av,av
2024-10-22T11:08:35.410Z,38.842666625977,-122.84216308594,1.8600000143051,0.73,md,18.0,91.0,0.006615,0.02,nc,nc75077286,2024-10-22T11:32:16.385Z,"10 km NW of The Geysers, CA",earthquake,0.29,0.449999988,0.12,18.0,automatic,nc,nc
2024-10-22T11:04:39.270Z,38.818832397461,-122.76083374023,1.9299999475479,1.09,md,17.0,120.0,0.01361,0.02,nc,nc75077281,2024-10-22T11:22:18.310Z,"3 km W of Cobb, CA",earthquake,0.28,0.50999999,0.07,19.0,automatic,nc,nc
2024-10-22T10:44:38.440Z,35.6798333,-117.5173333,9.26,0.49,ml,16.0,60.0,0.07763,0.12,ci,ci40960136,2024-10-22T13:40:01.613Z,"14 km SW of Searles Valley, CA",earthquake,0.31,0.66,0.101,4.0,reviewed,ci,ci
2024-10-22T10:12:56.250Z,33.906,-116.6888333,15.01,0.82,ml,46.0,42.0,0.09694,0.14,ci,ci40960120,2024-10-22T22:12:37.470Z,"9 km E of Cabazon, CA",earthquake,0.16,0.28,0.183,32.0,reviewed,ci,ci
2024-10-22T10:10:01.770Z,60.6969,-151.9389,75.4,1.6,ml,,,,0.43,ak,ak024dlp37ip,2024-10-22T10:11:27.527Z,"35 km WNW of Salamatof, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-22T10:04:32.930Z,38.792331695557,-122.77866363525,1.9900000095367,0.81,md,15.0,79.0,0.007281,0.02,nc,nc75077276,2024-10-22T10:22:17.889Z,"3 km NW of The Geysers, CA",earthquake,0.29,0.49000001,0.1,15.0,automatic,nc,nc
2024-10-22T10:01:14.439Z,36.44433333,-98.2515,7.52,1.29,ml,58.0,95.0,0.118776692,0.22,ok,ok2024uttg,2024-10-22T12:09:05.545Z,"7 km N of Ringwood, Oklahoma",earthquake,,0.5,0.23,18.0,reviewed,ok,ok
2024-10-22T09:46:57.530Z,35.6236667,-117.4415,8.38,0.77,ml,26.0,80.0,0.04074,0.14,ci,ci40960112,2024-10-22T13:40:18.745Z,"16 km SSW of Searles Valley, CA",earthquake,0.21,0.38,0.184,8.0,reviewed,ci,ci
2024-10-22T09:44:04.924Z,36.7457,-116.2851,9.5,-0.4,ml,23.0,61.4,0.012,0.0709,nn,nn00886383,2024-10-22T17:50:31.110Z,"45 km ESE of Beatty, Nevada",earthquake,,0.8,0.27,7.0,reviewed,nn,nn
2024-10-22T09:30:05.900Z,35.6088333,-117.5866667,6.17,0.84,ml,27.0,51.0,0.07324,0.15,ci,ci40960104,2024-10-22T13:40:25.404Z,"8 km E of Ridgecrest, CA",earthquake,0.18,0.56,0.284,9.0,reviewed,ci,ci
2024-10-22T09:23:55.736Z,39.0292,-118.1011,8.2,0.9,ml,9.0,115.89,0.019,0.1514,nn,nn00886429,2024-10-22T23:39:25.074Z,"23 km NW of Gabbs, Nevada",earthquake,,1.0,0.11,4.0,reviewed,nn,nn
2024-10-22T09:16:46.670Z,37.955665588379,-122.03800201416,10.239999771118,1.59,md,17.0,140.0,0.07322,0.09,nc,nc75077266,2024-10-22T10:09:27.782Z,"2 km ENE of Pleasant Hill, CA",earthquake,0.39,0.839999974,0.09,12.0,automatic,nc,nc
2024-10-22T09:10:35.320Z,19.204666137695,-155.50233459473,33.669998168945,1.78999996,md,48.0,73.0,0.06201,0.150000006,hv,hv74507316,2024-10-22T09:12:09.500Z,"2 km W of Pāhala, Hawaii",earthquake,0.56,0.50999999,0.209999993,6.0,automatic,hv,hv
2024-10-22T09:09:15.640Z,33.6515,-116.7565,11.44,0.23,ml,16.0,105.0,0.06919,0.11,ci,ci40960096,2024-10-22T13:40:26.404Z,"10 km SSW of Idyllwild, CA",earthquake,0.23,0.54,0.146,6.0,reviewed,ci,ci
2024-10-22T09:04:57.280Z,38.791332244873,-122.72550201416,1.5499999523163,0.78,md,9.0,96.0,0.01193,0.03,nc,nc75077256,2024-10-22T09:44:28.589Z,"3 km ENE of The Geysers, CA",earthquake,0.34,0.829999983,0.15,7.0,automatic,nc,nc
2024-10-22T08:57:04.490Z,38.829498291016,-122.85466766357,2.1400001049042,0.28,md,11.0,157.0,0.002602,0.02,nc,nc75077241,2024-10-22T09:17:18.387Z,"10 km NW of The Geysers, CA",earthquake,0.39,1.07000005,0.17,12.0,automatic,nc,nc
2024-10-22T08:56:33.140Z,39.5643,-119.2015,14.9,1.0,ml,10.0,118.21,0.204,0.1074,nn,nn00886428,2024-10-22T22:59:30.458Z,"6 km SE of Fernley, Nevada",earthquake,,2.1,0.23,3.0,reviewed,nn,nn
2024-10-22T08:50:55.110Z,38.787498474121,-122.74349975586,1.3899999856949,1.71,md,33.0,46.0,0.006793,0.05,nc,nc75077236,2024-10-22T21:13:45.560Z,"2 km NE of The Geysers, CA",earthquake,0.22,0.310000002,0.14,35.0,automatic,nc,nc
2024-10-22T08:38:54.590Z,33.2645,-116.2141667,10.64,0.52,ml,48.0,69.0,0.07901,0.19,ci,ci40960088,2024-10-22T13:40:43.901Z,"15 km E of Borrego Springs, CA",earthquake,0.22,0.44,0.084,8.0,reviewed,ci,ci
2024-10-22T08:37:50.020Z,38.805168151855,-122.7799987793,1.2599999904633,1.52,md,11.0,159.0,0.01228,0.14,nc,nc75077231,2024-10-22T08:57:18.227Z,"4 km NNW of The Geysers, CA",earthquake,0.64,0.850000024,0.17,11.0,automatic,nc,nc
2024-10-22T08:29:55.529Z,31.661,-104.377,7.3816,1.9,ml,15.0,70.0,0.0,0.2,tx,tx2024utqh,2024-10-22T11:27:59.627Z,"57 km S of Whites City, New Mexico",earthquake,1.0411774736409,1.3223272717386,0.1,13.0,reviewed,tx,tx
2024-10-22T08:14:23.960Z,41.366166666667,-111.544,19.06,0.82,ml,21.0,127.0,0.09926,0.14,uu,uu80084846,2024-10-22T13:10:43.070Z,"22 km ENE of Huntsville, Utah",earthquake,0.36,0.62,0.15385461376373,2.0,reviewed,uu,uu
2024-10-22T08:13:04.880Z,38.794834136963,-122.75783538818,0.50999999046326,1.07,md,11.0,85.0,0.005965,0.03,nc,nc75077221,2024-10-22T08:32:15.039Z,"2 km N of The Geysers, CA",earthquake,0.27,0.540000021,0.21,13.0,automatic,nc,nc
2024-10-22T08:10:38.410Z,37.236,-121.6175,3.69,0.77,md,21.0,43.0,0.04996,0.06,nc,nc75077226,2024-10-23T06:15:54.718Z,"12 km NNE of Morgan Hill, CA",earthquake,0.19,0.53,0.281,15.0,reviewed,nc,nc
2024-10-22T08:07:37.780Z,33.3671667,-116.3773333,11.26,0.85,ml,59.0,41.0,0.04122,0.21,ci,ci40960080,2024-10-22T08:13:37.859Z,"12 km N of Borrego Springs, CA",earthquake,0.19,0.33,0.154,21.0,automatic,ci,ci
2024-10-22T07:59:52.562Z,61.315,-152.391,131.511,2.6,ml,43.0,63.0,0.325,0.53,us,us7000nmdy,2024-10-23T05:29:18.040Z,"72 km WNW of Tyonek, Alaska",earthquake,4.78,5.021,0.038,93.0,reviewed,us,us
2024-10-22T07:55:43.150Z,34.2888333,-116.817,7.23,0.74,ml,38.0,58.0,0.0899,0.17,ci,ci40960072,2024-10-22T13:41:46.660Z,"4 km NE of Big Bear City, CA",earthquake,0.23,0.51,0.129,10.0,reviewed,ci,ci
2024-10-22T07:53:32.422Z,36.5968,-117.0989,4.3,1.1,ml,14.0,89.8,0.162,0.1844,nn,nn00886382,2024-10-22T17:38:12.597Z,"27 km NW of Furnace Creek, California",earthquake,,4.2,0.51,3.0,reviewed,nn,nn
2024-10-22T07:46:56.350Z,33.2261667,-116.0446667,3.54,0.7,ml,40.0,85.0,0.07295,0.25,ci,ci40960064,2024-10-22T07:53:10.269Z,"12 km SW of Salton City, CA",earthquake,0.29,0.52,0.14,10.0,automatic,ci,ci
2024-10-22T07:46:40.750Z,38.80350112915,-122.77933502197,2.0499999523163,0.75,md,9.0,81.0,0.009801,0.01,nc,nc75077216,2024-10-22T08:09:26.869Z,"4 km NNW of The Geysers, CA",earthquake,0.36,0.769999981,0.14,11.0,automatic,nc,nc
2024-10-22T07:35:03.490Z,19.165500640869,-155.46949768066,30.739999771118,2.13000011,md,25.0,211.0,0.09879,0.119999997,hv,hv74507196,2024-10-22T07:36:48.190Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.83,0.899999976,0.170000002,3.0,automatic,hv,hv
2024-10-22T07:33:15.360Z,31.955,-102.04,8.1787,1.6,ml,17.0,67.0,0.1,0.1,tx,tx2024utoj,2024-10-22T13:06:31.928Z,"5 km SE of Midland, Texas",earthquake,0.66474849016411,1.5983699766936,0.1,7.0,reviewed,tx,tx
2024-10-22T07:31:13.330Z,38.795833587646,-122.77449798584,3.3800001144409,1.1,md,21.0,74.0,0.01082,0.03,nc,nc75077211,2024-10-22T07:47:19.708Z,"3 km NNW of The Geysers, CA",earthquake,0.33,0.649999976,0.08,21.0,automatic,nc,nc
